timestamp_ms,raw_value,leads_off,bpm
1771381783490,324,0,
1771381783498,320,0,
1771381783502,315,0,
1771381783507,311,0,
1771381783511,310,0,
1771381783519,309,0,
1771381783523,308,0,
1771381783527,304,0,
1771381783535,303,0,
1771381783539,303,0,
1771381783543,303,0,
1771381783547,302,0,
1771381783556,301,0,
1771381783560,303,0,
1771381783564,307,0,
1771381783568,313,0,
1771381783576,317,0,
1771381783580,321,0,
1771381783584,327,0,
1771381783588,332,0,
1771381783597,336,0,
1771381783601,342,0,
1771381783605,347,0,
1771381783613,348,0,
1771381783617,350,0,
1771381783621,352,0,
1771381783625,353,0,
1771381783634,354,0,
1771381783638,356,0,
1771381783642,356,0,
1771381783646,357,0,
1771381783654,358,0,
1771381783658,356,0,
1771381783662,357,0,
1771381783670,358,0,
1771381783675,358,0,
1771381783679,357,0,
1771381783683,356,0,
1771381783691,358,0,
1771381783696,357,0,
1771381783699,357,0,
1771381783704,358,0,
1771381783711,357,0,
1771381783715,357,0,
1771381783720,357,0,
1771381783724,357,0,
1771381783732,356,0,
1771381783736,357,0,
1771381783740,356,0,
1771381783748,356,0,
1771381783752,357,0,
1771381783756,358,0,
1771381783761,356,0,
1771381783769,355,0,
1771381783773,355,0,
1771381783777,354,0,
1771381783781,355,0,
1771381783789,355,0,
1771381783793,354,0,
1771381783797,354,0,
1771381783806,354,0,
1771381783810,353,0,
1771381783814,353,0,
1771381783818,352,0,
1771381783826,352,0,
1771381783830,352,0,
1771381783834,351,0,
1771381783838,350,0,
1771381783847,347,0,
1771381783851,347,0,
1771381783855,349,0,
1771381783863,345,0,
1771381783867,342,0,
1771381783871,337,0,
1771381783875,325,0,
1771381783883,319,0,
1771381783888,322,0,
1771381783892,325,0,
1771381783896,330,0,
1771381783904,333,0,
1771381783908,334,0,
1771381783912,338,0,
1771381783916,343,0,
1771381783924,345,0,
1771381783928,345,0,
1771381783933,347,0,
1771381783941,347,0,
1771381783945,347,0,
1771381783949,348,0,
1771381783953,348,0,
1771381783961,348,0,
1771381783965,350,0,
1771381783969,350,0,
1771381783973,351,0,
1771381783982,351,0,
1771381783986,352,0,
1771381783990,348,0,
1771381783998,351,0,
1771381784002,361,0,
1771381784006,367,0,
1771381784010,351,0,
1771381784018,309,0,
1771381784023,235,0,
1771381784027,110,0,
1771381784031,0,0,
1771381784035,0,0,
1771381784035,0,0,
1771381784039,0,0,
1771381784043,10,0,
1771381784047,129,0,
1771381784055,297,0,
1771381784059,370,0,
1771381784064,370,0,
1771381784072,362,0,
1771381784076,366,0,
1771381784080,378,0,
1771381784084,382,0,
1771381784092,382,0,
1771381784096,384,0,
1771381784100,385,0,
1771381784105,383,0,
1771381784113,382,0,
1771381784117,382,0,
1771381784121,379,0,
1771381784129,377,0,
1771381784133,377,0,
1771381784137,375,0,
1771381784141,372,0,
